price,bedrooms,bathrooms,floors,waterfront,view,condition,grade,sqft_above,yr_built,renoveted_or_not,Total_area,extra_area,neighbourhood_total_area_15
221900,3,1,1,0,0,3,3,1180,1970-01-01,0,6830,1180,6990
538000,3,2,2,0,0,3,3,2170,1970-01-01,1,9812,2570,9329
180000,2,1,1,0,0,3,2,770,1970-01-01,0,10770,770,10782
604000,4,3,1,0,0,5,3,1050,1970-01-01,0,6960,1960,6360
510000,3,2,1,0,0,3,4,1680,1970-01-01,0,9760,1680,9303
1129275,4,4,1,0,0,3,7,3890,1970-01-01,0,107350,5420,106690
257500,3,2,2,0,0,3,3,1715,1970-01-01,0,8534,1715,9057
291850,3,1,1,0,0,3,3,1060,1970-01-01,0,10771,1060,11361
229500,3,1,1,0,0,3,3,1050,1970-01-01,0,9250,1780,9893
323000,3,2,2,0,0,3,3,1890,1970-01-01,0,8450,1890,9960
662500,3,2,1,0,0,3,4,1860,1970-01-01,0,13356,3560,11135
468000,2,1,1,0,0,4,3,860,1970-01-01,0,7160,1160,7330
310000,3,1,1,0,0,4,3,1430,1970-01-01,0,21331,1430,14477
400000,3,1,1,0,0,4,3,1370,1970-01-01,0,11050,1370,11578
530000,5,2,1,0,0,3,3,1810,1970-01-01,0,6660,1810,6210
650000,4,3,2,0,3,3,5,1980,1970-01-01,0,7950,2950,6140
395000,3,2,2,0,0,3,3,1890,1970-01-01,0,15930,1890,15908
485000,4,1,1,0,0,4,3,1600,1970-01-01,0,5900,1600,5910
189000,2,1,1,0,0,4,3,1200,1970-01-01,0,11050,1200,6155
230000,3,1,1,0,0,4,3,1250,1970-01-01,0,11024,1250,10130
385000,4,1,1,0,0,4,3,860,1970-01-01,0,6600,1620,6380
1129275,3,2,1,0,4,3,5,2330,1970-01-01,0,47917,3050,24446
285000,5,2,2,0,0,3,4,2270,1970-01-01,0,8570,2270,9245
252700,2,1,1,0,0,3,3,1070,1970-01-01,0,10713,1070,9606
